Date,Ticker,Open,High,Low,Close,Adj_Close,Volume,Market_Cap,Daily_Return,Sector,Country,Source,Volatility_7D,Volatility_30D
2020-01-01,AAPL,150.4,151.64,147.44,151.61,151.61,1695300,1516061967.0,-0.01854,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-02,AAPL,149.17,150.44,147.93,149.42,149.42,1413952,1494217301.0,-0.01441,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-03,AAPL,154.82,155.21,152.1,154.69,154.69,2121932,1546914465.0,0.03527,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-06,AAPL,155.84,157.43,154.1,156.03,156.03,1132475,1560262916.0,0.00863,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-07,AAPL,158.47,158.67,154.95,157.11,157.11,2698666,1571094451.0,0.00694,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-08,AAPL,158.33,158.78,156.4,157.03,157.03,3415947,1570261214.0,-0.00053,Technology,USA,Synthetic Stock Generator v1.0,,
2020-01-09,AAPL,156.82,158.82,156.44,156.46,156.46,4308464,1564633368.0,-0.00358,Technology,USA,Synthetic Stock Generator v1.0,0.017813681472931067,
2020-01-10,AAPL,163.72,164.21,161.68,162.74,162.74,2862021,1627354776.0,0.04009,Technology,USA,Synthetic Stock Generator v1.0,0.02018884663796891,
2020-01-13,AAPL,156.95,159.77,154.07,157.55,157.55,3013664,1575464940.0,-0.03189,Technology,USA,Synthetic Stock Generator v1.0,0.024402347369522816,
2020-01-14,AAPL,154.59,156.67,152.03,154.12,154.12,2963081,1541152435.0,-0.02178,Technology,USA,Synthetic Stock Generator v1.0,0.023215096894252323,
2020-01-15,AAPL,153.63,154.17,150.62,152.81,152.81,2201914,1528131524.0,-0.00845,Technology,USA,Synthetic Stock Generator v1.0,0.023016476500024727,
2020-01-16,AAPL,158.26,160.94,157.8,157.99,157.99,1480477,1579886331.0,0.03387,Technology,USA,Synthetic Stock Generator v1.0,0.026838061192482377,
